,Unnamed: 0,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry,lat,lon
92,10,7707,Matt Brezina,Bay Area,angel,2017-01-25,0,0,San Francisco,CA,USA,angel.co/brezina,food & beverages,37.7790262,-122.4199061
93,12,19851,Highland Capital Management,Dallas,pe,2020-09-09,0,0,Dallas,TX,USA,hcmlp.com,food & beverages,32.7762719,-96.7968559
94,15,5908,David Parker,Seattle,angel,2010-04-13,0,0,Seattle,WA,USA,,food & beverages,47.6038321,-122.3300624
95,18,166,Trinity Ventures,Bay Area,vc,2020-09-15,340,188,Menlo Park,CA,USA,trinityventures.com,food & beverages,37.4519671,-122.1779927
96,20,2783,NYC Seed,New York,vc,2014-09-05,0,0,Brooklyn,NY,USA,nycseed.com,food & beverages,40.6501024,-73.9495829
97,21,10809,Greg Kidd,Bay Area,angel,2018-01-27,0,0,San Francisco,CA,USA,angel.co/gregkidd,food & beverages,37.7790262,-122.4199061
98,24,4169,David Axmark,London,angel,2014-09-04,0,0,London,,GBR,angel.co/david-axmark,food & beverages,42.19592,-73.36206
99,25,12292,Hoxton Ventures,London,vc,2020-09-08,0,0,London,,GBR,hoxtonventures.com,food & beverages,42.19592,-73.36206
100,27,18000,Sameer Gulati,Washington D.C.,angel,2018-06-20,0,0,Washington D.C.,DC,USA,,food & beverages,38.8949924,-77.0365581
101,32,2435,Will Herman,Boston,angel,2014-09-15,0,0,Boston,MA,USA,angel.co/willherman,food & beverages,42.3602534,-71.0582912
102,33,7207,Joe Caruso,Boston,angel,2018-07-13,0,0,Boston,MA,USA,angel.co/joecaruso2020,food & beverages,42.3602534,-71.0582912
103,34,7478,Right Side Capital Management,Bay Area,vc,2020-07-14,0,0,San Francisco,CA,USA,rightsidecapital.com,food & beverages,37.7790262,-122.4199061
104,37,10,Longworth Venture Partners,Boston,vc,2018-12-31,0,0,Waltham,MA,USA,longworth.com,food & beverages,42.3756401,-71.2358004
105,38,16612,Apax Partners,New York,vc,2018-09-07,0,0,New York,NY,USA,apax.com,food & beverages,40.7127281,-74.0060152
106,44,8445,Gordon Paddison,Los Angeles,angel,2015-10-27,0,0,Los Angeles,CA,USA,,food & beverages,34.0536909,-118.242766
107,2,12545,Square Peg Capital,Melbourne,vc,2020-07-27,0,0,Melbourne,,AUS,squarepegcap.com,food & beverages,30.26715,-97.74306
108,6,19692,Mark Bakken,Cleveland,angel,2016-06-15,0,0,Madison,WI,USA,,food & beverages,43.074761,-89.3837613
109,12,1778,Chris Dixon,New York,angel,2015-07-14,0,0,New York,NY,USA,angel.co/cdixon,food & beverages,40.7127281,-74.0060152
110,13,11186,Jonathan Murray,Bay Area,angel,2012-09-28,0,0,San Francisco,CA,USA,,food & beverages,37.7790262,-122.4199061
111,14,5270,Chicago Growth Partners,Chicago,vc,2015-12-01,0,0,Chicago,IL,USA,cgp.com,food & beverages,41.8755616,-87.6244212
