,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
16,205,Spark Capital,Boston,vc,2020-09-28,361,215,Boston,MA,USA,sparkcapital.com,food & beverages
17,983,Valhalla Partners,Vienna,vc,2018-06-06,0,0,Vienna,VA,USA,valhallapartners.com,food & beverages
18,18221,Chrysalix SET  ,Amsterdam,vc,2014-12-02,0,0,Amsterdam,,NLD,chrysalixset.com,food & beverages
20,3589,Asset Management Ventures (AMV),Bay Area,vc,2020-09-11,0,0,Palo Alto,CA,USA,assetman.com,food & beverages
21,2283,ABS Capital Partners,Washington D.C.,vc,2020-02-25,0,0,Baltimore,MD,USA,abscapital.com,food & beverages
22,23509,Matter.VC,Bay Area,vc,2017-02-15,0,0,San Francisco,CA,USA,matter.vc,food & beverages
23,9102,MuckerLab,Los Angeles,accelerator,2015-11-30,0,0,Santa Monica,CA,USA,muckerlab.com,food & beverages
26,1881,DBL Investors,Bay Area,vc,2017-10-06,0,0,San Francisco,CA,USA,dblinvestors.com,food & beverages
27,3476,Delphi Ventures,Bay Area,vc,2019-01-09,0,0,Menlo Park,CA,USA,delphiventures.com,food & beverages
28,2012,Prime Ventures,Amsterdam,vc,2020-03-03,0,0,Amsterdam,,NLD,primeventures.com,food & beverages
29,14286,Rocket Internet,Berlin,strategic,2020-07-16,0,0,Berlin,,DEU,rocket-internet.com,food & beverages
32,10450,MOVIDA JAPAN,Shibuya-ku,accelerator,2012-04-05,0,0,Shibuya-ku,,JPN,movidainc.com,food & beverages
36,1588,Mumbai Angels,Mumbai,other,2018-09-19,0,0,Mumbai,,IND,mumbaiangels.com,food & beverages
40,1785,Georgian Partners,Toronto,vc,2017-12-21,0,0,Toronto,CAN-ON,CAN,georgianpartners.com,food & beverages
43,584,Four Rivers Group,Bay Area,vc,2018-05-21,0,0,San Francisco,CA,USA,fourriversgroup.com,food & beverages
0,5395,Hyde Park Venture Partners,Chicago,vc,2020-10-02,0,0,Chicago,IL,USA,hydeparkvp.com,food & beverages
5,10328,Suleman Ali,Bay Area,angel,2014-07-01,0,0,San Francisco,CA,USA,,food & beverages
7,8281,BLH Venture Partners,Atlanta,vc,2017-03-20,0,0,Atlanta,GA,USA,blhventures.com,food & beverages
8,5061,Cycle Capital,Montreal,vc,2017-07-24,0,0,Montreal,CAN-QC,CAN,cyclecapital.com,food & beverages
9,2384,Saeed Amidi,Bay Area,angel,2015-11-22,0,0,Sunnyvale,CA,USA,angel.co/saeed-amidi,food & beverages
16,616,Origin Ventures,Chicago,vc,2020-09-24,0,0,Northbrook,IL,USA,originventures.com,food & beverages
18,24627,Ryan Weber,Kansas City,angel,2014-11-10,0,0,Kansas City,MO,USA,,food & beverages
19,26306,Mergelane,Boulder,accelerator,2017-03-09,0,0,Boulder,CO,USA,mergelane.com,food & beverages
22,14104,Digital Magics,Milan,angel,2018-06-14,0,0,Milan,,ITA,angel.co/digital-magics-1,food & beverages
26,2067,Oleg Tscheltzoff,London,angel,2016-10-11,0,0,London,,GBR,angel.co/olichoun,food & beverages
29,5984,Leopard Rock Capital,London,vc,2014-08-12,0,0,London,,GBR,leopardrockcapital.com,food & beverages
30,7524,The Brandery,Cincinnati,accelerator,2015-08-01,0,0,Cincinnati,OH,USA,brandery.org,food & beverages
33,10138,Samurai Incubate,Tokyo,vc,2020-07-01,0,0,Tokyo,,JPN,samurai-incubate.asia,food & beverages
37,5117,Hudson Bay Capital Management,New York,vc,2020-04-11,0,0,New York,NY,USA,hudsonbaycapital.com,food & beverages
38,5129,Perceptive Advisors,New York,vc,2020-09-14,0,0,New York,NY,USA,perceptivelife.com,food & beverages
41,1456,ONSET Ventures,Bay Area,vc,2016-01-28,0,0,Menlo Park,CA,USA,onset.com,food & beverages
43,1843,Dave Morgan,New York,angel,2015-02-18,0,0,New York,NY,USA,angel.co/davemorgannyc,food & beverages
45,262,Trident Capital,Bay Area,vc,2017-12-06,174,101,Palo Alto,CA,USA,tridentcap.com,food & beverages
46,224,Eden Ventures,London,vc,2016-01-28,0,0,London,,GBR,edenventures.co.uk,food & beverages
49,313,T-Venture,Bonn,vc,2019-01-07,0,0,Bonn,,DEU,t-venture.com,food & beverages
4,16566,Alex Franz,Bay Area,angel,2013-03-01,0,0,Palo Alto,CA,USA,,food & beverages
7,1038,TomorrowVentures,Bay Area,vc,2016-09-29,0,0,Palo Alto,CA,USA,tomorrowvc.com,food & beverages
8,11225,Jay Jamison,Bay Area,angel,2015-06-10,0,0,Menlo Park,CA,USA,,food & beverages
